file_name,file_year,file_month,year,month,country,arrivals_country
tourism_2016_02.xls,2016,2,2016,2,İSVİÇRE,10721
tourism_2016_02.xls,2016,2,2015,2,İTALYA,22572
tourism_2016_02.xls,2016,2,2016,2,İTALYA,16298
tourism_2016_02.xls,2016,2,2015,2,İZLANDA,116
tourism_2016_02.xls,2016,2,2016,2,İZLANDA,143
tourism_2016_02.xls,2016,2,2015,2,LÜKSEMBURG,351
tourism_2016_02.xls,2016,2,2016,2,LÜKSEMBURG,214
tourism_2016_02.xls,2016,2,2015,2,PORTEKİZ,2220
tourism_2016_02.xls,2016,2,2016,2,PORTEKİZ,1818
tourism_2016_02.xls,2016,2,2015,2,YUNANİSTAN,43163
tourism_2016_02.xls,2016,2,2016,2,YUNANİSTAN,34176
tourism_2016_02.xls,2016,2,2015,2,ÇEK CUM.,3669
tourism_2016_02.xls,2016,2,2016,2,ÇEK CUM.,3077
tourism_2016_02.xls,2016,2,2015,2,POLONYA,7992
tourism_2016_02.xls,2016,2,2016,2,POLONYA,6192
tourism_2016_02.xls,2016,2,2015,2,MACARİSTAN,3863
tourism_2016_02.xls,2016,2,2016,2,MACARİSTAN,3433
tourism_2016_02.xls,2016,2,2015,2,NORVEÇ,8299
tourism_2016_02.xls,2016,2,2016,2,NORVEÇ,6653
tourism_2016_02.xls,2016,2,2015,2,SLOVAKYA,2265
tourism_2016_02.xls,2016,2,2016,2,SLOVAKYA,2045
tourism_2016_02.xls,2016,2,2015,2,A.B.D.,26485
tourism_2016_02.xls,2016,2,2016,2,A.B.D.,23452
tourism_2016_02.xls,2016,2,2015,2,AVUSTRALYA,3075
tourism_2016_02.xls,2016,2,2016,2,AVUSTRALYA,2497
tourism_2016_02.xls,2016,2,2015,2,JAPONYA,9960
tourism_2016_02.xls,2016,2,2016,2,JAPONYA,4088
tourism_2016_02.xls,2016,2,2015,2,KANADA,6174
tourism_2016_02.xls,2016,2,2016,2,KANADA,5075
tourism_2016_02.xls,2016,2,2015,2,YENİ ZELLANDA,557
tourism_2016_02.xls,2016,2,2016,2,YENİ ZELLANDA,464
tourism_2016_02.xls,2016,2,2015,2,MEKSİKA,1005
tourism_2016_02.xls,2016,2,2016,2,MEKSİKA,638
tourism_2016_02.xls,2016,2,2015,2,G. KORE,19917
tourism_2016_02.xls,2016,2,2016,2,G. KORE,11399
tourism_2016_02.xls,2016,2,2015,2,ESTONYA,1141
tourism_2016_02.xls,2016,2,2016,2,ESTONYA,1195
tourism_2016_02.xls,2016,2,2015,2,KARADAĞ,1399
tourism_2016_02.xls,2016,2,2016,2,KARADAĞ,1433
tourism_2016_02.xls,2016,2,2015,2,KOSOVA,5115
tourism_2016_02.xls,2016,2,2016,2,KOSOVA,5933
tourism_2016_02.xls,2016,2,2015,2,MALTA,464
tourism_2016_02.xls,2016,2,2016,2,MALTA,340
tourism_2016_02.xls,2016,2,2015,2,LİTVANYA,1924
tourism_2016_02.xls,2016,2,2016,2,LİTVANYA,1981
tourism_2016_02.xls,2016,2,2015,2,G. KIBRIS RUM YÖN.,501
tourism_2016_02.xls,2016,2,2016,2,G. KIBRIS RUM YÖN.,537
tourism_2016_02.xls,2016,2,2015,2,LETONYA,1440
tourism_2016_02.xls,2016,2,2016,2,LETONYA,1116
tourism_2016_02.xls,2016,2,2015,2,BOSNA HERSEK,3663
tourism_2016_02.xls,2016,2,2016,2,BOSNA HERSEK,4312
tourism_2016_02.xls,2016,2,2015,2,HIRVATİSTAN,2978
tourism_2016_02.xls,2016,2,2016,2,HIRVATİSTAN,1784
tourism_2016_02.xls,2016,2,2015,2,SLOVENYA,2594
tourism_2016_02.xls,2016,2,2016,2,SLOVENYA,1825
tourism_2016_02.xls,2016,2,2015,2,SIRBİSTAN,8394
tourism_2016_02.xls,2016,2,2016,2,SIRBİSTAN,8489
tourism_2016_02.xls,2016,2,2015,2,MAKEDONYA,9150
tourism_2016_02.xls,2016,2,2016,2,MAKEDONYA,9753
tourism_2016_02.xls,2016,2,2015,2,ARNAVUTLUK,4424
tourism_2016_02.xls,2016,2,2016,2,ARNAVUTLUK,4825
tourism_2016_02.xls,2016,2,2015,2,BULGARİSTAN,103108
tourism_2016_02.xls,2016,2,2016,2,BULGARİSTAN,109532
tourism_2016_02.xls,2016,2,2015,2,ROMANYA,18002
tourism_2016_02.xls,2016,2,2016,2,ROMANYA,18462
tourism_2016_02.xls,2016,2,2015,2,AZERBAYCAN,39040
tourism_2016_02.xls,2016,2,2016,2,AZERBAYCAN,34326
tourism_2016_02.xls,2016,2,2015,2,BELARUS (B. RUSYA),2682
tourism_2016_02.xls,2016,2,2016,2,BELARUS (B. RUSYA),2449
tourism_2016_02.xls,2016,2,2015,2,ERMENİSTAN,2665
tourism_2016_02.xls,2016,2,2016,2,ERMENİSTAN,2815
tourism_2016_02.xls,2016,2,2015,2,GÜRCİSTAN,106413
tourism_2016_02.xls,2016,2,2016,2,GÜRCİSTAN,152165
tourism_2016_02.xls,2016,2,2015,2,KAZAKİSTAN,13495
tourism_2016_02.xls,2016,2,2016,2,KAZAKİSTAN,8246
tourism_2016_02.xls,2016,2,2015,2,KIRGIZİSTAN,7042
tourism_2016_02.xls,2016,2,2016,2,KIRGIZİSTAN,6596
tourism_2016_02.xls,2016,2,2015,2,MOLDOVA CUM.,6161
tourism_2016_02.xls,2016,2,2016,2,MOLDOVA CUM.,6813
tourism_2016_02.xls,2016,2,2015,2,ÖZBEKİSTAN,11089
tourism_2016_02.xls,2016,2,2016,2,ÖZBEKİSTAN,8546
tourism_2016_02.xls,2016,2,2015,2,RUSYA FED.,41444
tourism_2016_02.xls,2016,2,2016,2,RUSYA FED.,20074
tourism_2016_02.xls,2016,2,2015,2,TACİKİSTAN,2849
tourism_2016_02.xls,2016,2,2016,2,TACİKİSTAN,1600
tourism_2016_02.xls,2016,2,2015,2,TÜRKMENİSTAN,12134
tourism_2016_02.xls,2016,2,2016,2,TÜRKMENİSTAN,11546
tourism_2016_02.xls,2016,2,2015,2,UKRAYNA,23546
tourism_2016_02.xls,2016,2,2016,2,UKRAYNA,28322
tourism_2016_02.xls,2016,2,2015,2,BDT,268560
tourism_2016_02.xls,2016,2,2016,2,BDT,283498
