freq,statinfo,unit,currency,year,month,exchange_rate
M,AVG,NAC,BAM,2020,7,1.95583
M,AVG,NAC,BAM,2020,8,1.95583
M,AVG,NAC,BAM,2020,9,1.95583
M,AVG,NAC,BAM,2020,10,1.95583
M,AVG,NAC,BAM,2020,11,1.95583
M,AVG,NAC,BAM,2020,12,1.95583
M,AVG,NAC,BAM,2021,1,1.95583
M,AVG,NAC,BAM,2021,2,1.95583
M,AVG,NAC,BAM,2021,3,1.95583
M,AVG,NAC,BAM,2021,4,1.95583
M,AVG,NAC,BAM,2021,5,1.95583
M,AVG,NAC,BAM,2021,6,1.95583
M,AVG,NAC,BAM,2021,7,1.95583
M,AVG,NAC,BAM,2021,8,1.95583
M,AVG,NAC,BAM,2021,9,1.95583
M,AVG,NAC,BAM,2021,10,1.95583
M,AVG,NAC,BAM,2021,11,1.95583
M,AVG,NAC,BAM,2021,12,1.95583
M,AVG,NAC,BAM,2022,1,1.95583
M,AVG,NAC,BAM,2022,2,1.95583
M,AVG,NAC,BAM,2022,3,1.95583
M,AVG,NAC,BAM,2022,4,1.95583
M,AVG,NAC,BAM,2022,5,1.95583
M,AVG,NAC,BAM,2022,6,1.95583
M,AVG,NAC,BAM,2022,7,1.95583
M,AVG,NAC,BAM,2022,8,1.95583
M,AVG,NAC,BAM,2022,9,1.95583
M,AVG,NAC,BAM,2022,10,1.95583
M,AVG,NAC,BAM,2022,11,1.95583
M,AVG,NAC,BAM,2022,12,1.95583
M,AVG,NAC,BAM,2023,1,1.95583
M,AVG,NAC,BAM,2023,2,1.95583
M,AVG,NAC,BAM,2023,3,1.95583
M,AVG,NAC,BAM,2023,4,1.95583
M,AVG,NAC,BAM,2023,5,1.95583
M,AVG,NAC,BAM,2023,6,1.95583
M,AVG,NAC,BAM,2023,7,1.95583
M,AVG,NAC,BAM,2023,8,1.95583
M,AVG,NAC,BAM,2023,9,1.95583
M,AVG,NAC,BAM,2023,10,1.95583
M,AVG,NAC,BAM,2023,11,1.95583
M,AVG,NAC,BAM,2023,12,1.95583
M,AVG,NAC,BAM,2024,1,1.95583
M,AVG,NAC,BAM,2024,2,1.95583
M,AVG,NAC,BAM,2024,3,1.95583
M,AVG,NAC,BAM,2024,4,1.95583
M,AVG,NAC,BAM,2024,5,1.95583
M,AVG,NAC,BAM,2024,6,1.95583
M,AVG,NAC,BAM,2024,7,1.95583
M,AVG,NAC,BAM,2024,8,1.95583
M,AVG,NAC,BAM,2024,9,1.95583
M,AVG,NAC,BAM,2024,10,1.95583
M,AVG,NAC,BAM,2024,11,1.95583
M,AVG,NAC,BAM,2024,12,1.95583
M,AVG,NAC,BAM,2025,1,1.95583
M,AVG,NAC,BAM,2025,2,1.95583
M,AVG,NAC,BAM,2025,3,1.95583
M,AVG,NAC,BAM,2025,4,1.95583
M,AVG,NAC,BAM,2025,5,1.95583
M,AVG,NAC,BAM,2025,6,1.95583
M,AVG,NAC,BAM,2025,7,1.95583
M,AVG,NAC,BAM,2025,8,1.95583
M,AVG,NAC,BAM,2025,9,1.95583
M,AVG,NAC,BAM,2025,10,1.95583
M,AVG,NAC,BAM,2025,11,1.95583
M,AVG,NAC,BAM,2025,12,1.95583
M,AVG,NAC,BRL,2015,1,3.0639
M,AVG,NAC,BRL,2015,2,3.1977
M,AVG,NAC,BRL,2015,3,3.3997
M,AVG,NAC,BRL,2015,4,3.28
